FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
202601,30,0,61427,1313042,"I","01/30/2026 00:00:00",83,"M","Permanent Home"
202601,27,0,61376,1313075,"D","01/27/2026 00:00:00",80,"F","Outside/Open Areas"
202601,27,0,61375,1313075,"D","01/27/2026 00:00:00",65,"F","Permanent Home"
202601,27,0,61377,1313077,"D","01/27/2026 00:00:00",76,"M","Permanent Home"
202601,27,0,61378,1313077,"D","01/27/2026 00:00:00",65,"M","Vehicle/Towed Trailer"
202601,27,0,61441,1313082,"D","01/27/2026 00:00:00",48,"M","Vehicle/Towed Trailer"
202601,24,0,61383,1313083,"D","01/24/2026 00:00:00",73,"M","Mobile/Trailer Home"
202601,27,0,61374,1313085,"D","01/27/2026 00:00:00",83,"M","Outside/Open Areas"
202601,27,0,61379,1313104,"I","01/27/2026 00:00:00",75,"M","Permanent Home"
202601,27,0,61380,1313104,"I","01/27/2026 00:00:00",68,"M","Permanent Home"
202601,27,0,61381,1313104,"I","01/27/2026 00:00:00",41,"M","Permanent Home"
202601,11,0,61385,1313246,"I","01/11/2026 00:00:00",34,"F","Vehicle/Towed Trailer"
202601,25,0,61403,1313320,"I","01/25/2026 00:00:00",16,"F","Outside/Open Areas"
202601,28,0,61404,1313320,"I","01/28/2026 00:00:00",16,"F","Outside/Open Areas"
202601,31,0,61443,1313380,"D","01/31/2026 00:00:00",61,"M","Permanent Home"
202601,31,0,61445,1313697,"I","01/31/2026 00:00:00",75,"F","Outside/Open Areas"
202601,31,0,61386,1314042,"D","01/31/2026 00:00:00",29,"M","Vehicle/Towed Trailer"
202601,24,0,61392,1314406,"D","01/24/2026 00:00:00",61,"M","Permanent Home"
202601,24,0,61393,1314406,"D","01/24/2026 00:00:00",69,"F","Permanent Home"
202601,24,0,61405,1314415,"D","01/24/2026 00:00:00",43,"M","Outside/Open Areas"
202601,9,0,61394,1314555,"D","01/09/2026 00:00:00",,"","Outside/Open Areas"
202601,9,0,61395,1314555,"D","01/09/2026 00:00:00",,"","Outside/Open Areas"
202601,30,0,61431,1314734,"I","01/30/2026 00:00:00",,"","Unknown"
202601,30,0,61430,1314744,"I","01/30/2026 00:00:00",,"","Unknown"
202601,30,0,61432,1314750,"I","01/30/2026 00:00:00",,"","Unknown"
202601,26,0,61407,1314770,"I","01/26/2026 00:00:00",6,"M","Outside/Open Areas"
202601,26,0,61408,1314770,"I","01/26/2026 00:00:00",8,"M","Outside/Open Areas"
202601,26,0,61409,1314770,"I","01/26/2026 00:00:00",9,"M","Outside/Open Areas"
202601,25,0,61440,1312991,"D","01/25/2026 00:00:00",50,"M","Outside/Open Areas"
202601,25,0,61416,1314948,"I","01/25/2026 00:00:00",78,"M","Outside/Open Areas"
202601,24,0,61414,1314948,"I","01/24/2026 00:00:00",78,"M","Permanent Home"
202601,24,0,61415,1314948,"I","01/24/2026 00:00:00",77,"F","Permanent Home"
202601,24,0,61433,1315036,"I","01/24/2026 00:00:00",,"","Unknown"
202601,24,0,61434,1315036,"I","01/24/2026 00:00:00",,"","Unknown"
202601,24,0,61435,1315036,"I","01/24/2026 00:00:00",,"","Unknown"
202601,24,0,61436,1315041,"I","01/24/2026 00:00:00",,"","Unknown"
202601,24,0,61437,1315046,"I","01/24/2026 00:00:00",,"","Unknown"
202601,24,0,61438,1315046,"I","01/24/2026 00:00:00",,"","Unknown"
202601,24,0,61439,1315047,"I","01/24/2026 00:00:00",,"","Unknown"
